Player,Pos,Age,Tm,G,PTS,TRB,AST,STL,BLK,FG%,3P%,2P%,FT%
Precious Achiuwa,C,23,TOR,55,9.2,6,0.9,0.6,0.5,0.485,0.269,0.564,0.702
Steven Adams,C,29,MEM,42,8.6,11.5,2.3,0.9,1.1,0.597,0,0.599,0.364
Bam Adebayo,C,25,MIA,75,20.4,9.2,3.2,1.2,0.8,0.54,0.083,0.545,0.806
Ochai Agbaji,SG,22,UTA,59,7.9,2.1,1.1,0.3,0.3,0.427,0.355,0.532,0.812
Santi Aldama,PF,22,MEM,77,9,4.8,1.3,0.6,0.6,0.47,0.353,0.591,0.75
Nickeil Alexander-Walker,SG,24,TOT,59,6.2,1.7,1.8,0.5,0.4,0.444,0.384,0.515,0.667
Nickeil Alexander-Walker,SG,24,UTA,36,6.3,1.6,2.1,0.7,0.4,0.488,0.402,0.578,0.692
Nickeil Alexander-Walker,SG,24,MIN,23,5.9,1.8,1.4,0.3,0.3,0.384,0.361,0.415,0.619
Grayson Allen,SG,27,MIL,72,10.4,3.3,2.3,0.9,0.2,0.44,0.399,0.518,0.905
Jarrett Allen,C,24,CLE,68,14.3,9.8,1.7,0.8,1.2,0.644,0.1,0.653,0.733
Jose Alvarado,PG,24,NOP,61,9,2.3,3,1.1,0.2,0.411,0.336,0.488,0.813
Kyle Anderson,PF,29,MIN,69,9.4,5.3,4.9,1.1,0.9,0.509,0.41,0.536,0.735
Giannis Antetokounmpo,PF,28,MIL,63,31.1,11.8,5.7,0.8,0.8,0.553,0.275,0.596,0.645
Thanasis Antetokounmpo,PF,30,MIL,37,1.4,1.2,0.4,0.1,0.1,0.435,0,0.526,0.5
Cole Anthony,PG,22,ORL,60,13,4.8,3.9,0.6,0.5,0.454,0.364,0.5,0.894
OG Anunoby,SF,25,TOR,67,16.8,5,2,1.9,0.7,0.476,0.387,0.539,0.838
Ryan Arcidiacono,PG,28,TOT,20,1.3,0.8,1.2,0.3,0,0.243,0.348,0.071,0
Ryan Arcidiacono,PG,28,NYK,11,0.3,0.4,0.2,0.2,0,0.2,0.333,0,0
Ryan Arcidiacono,PG,28,POR,9,2.6,1.2,2.3,0.3,0,0.25,0.35,0.083,0
Deni Avdija,SF,22,WAS,76,9.2,6.4,2.8,0.9,0.4,0.437,0.297,0.53,0.739
Deandre Ayton,C,24,PHO,67,18,10,1.7,0.6,0.8,0.589,0.292,0.597,0.76
Udoka Azubuike,C,23,UTA,36,3.5,3.3,0.3,0.2,0.4,0.819,0,0.819,0.35
Marvin Bagley III,C,23,DET,42,12,6.4,0.9,0.5,0.7,0.529,0.288,0.579,0.75
Patrick Baldwin Jr.,SF,20,GSW,31,3.9,1.3,0.4,0.2,0.1,0.394,0.381,0.44,0.667
LaMelo Ball,PG,21,CHO,36,23.3,6.4,8.4,1.3,0.3,0.411,0.376,0.45,0.836
Mo Bamba,C,24,TOT,49,6.6,4.6,0.9,0.3,0.9,0.485,0.387,0.59,0.661
Mo Bamba,C,24,ORL,40,7.3,4.6,1.1,0.3,1,0.495,0.398,0.594,0.686
Mo Bamba,C,24,LAL,9,3.7,4.6,0.4,0.1,0.6,0.407,0.313,0.545,0.545
Paolo Banchero,PF,20,ORL,72,20,6.9,3.7,0.8,0.5,0.427,0.298,0.471,0.738
Desmond Bane,SG,24,MEM,58,21.5,5,4.4,1,0.4,0.479,0.408,0.534,0.883
Dalano Banton,PG,23,TOR,31,4.6,1.5,1.2,0.4,0.4,0.423,0.294,0.506,0.708
Dominick Barlow,PF,19,SAS,28,3.9,3.6,0.9,0.4,0.7,0.535,0,0.561,0.72
Harrison Barnes,PF,30,SAC,82,15,4.5,1.6,0.7,0.1,0.473,0.374,0.553,0.847
Scottie Barnes,SF,21,TOR,77,15.3,6.6,4.8,1.1,0.8,0.456,0.281,0.505,0.772
RJ Barrett,SG,22,NYK,73,19.6,5,2.8,0.4,0.2,0.434,0.31,0.495,0.74
Will Barton,SG,32,TOT,56,6.8,2.4,2,0.5,0.2,0.379,0.367,0.391,0.787
Will Barton,SG,32,WAS,40,7.7,2.8,2.4,0.4,0.3,0.386,0.377,0.395,0.778
Will Barton,SG,32,TOR,16,4.5,1.6,1.1,0.7,0.2,0.354,0.333,0.378,1
Charles Bassey,C,22,SAS,35,5.7,5.5,1.3,0.5,0.9,0.644,0.375,0.661,0.595
Keita Bates-Diop,PF,27,SAS,67,9.7,3.7,1.5,0.7,0.3,0.508,0.394,0.557,0.793
Nicolas Batum,PF,34,LAC,78,6.1,3.8,1.6,0.7,0.6,0.42,0.391,0.563,0.708
